rank,symbol,asset_type,timeframe,macd_params,long_hold_bars,short_hold_bars,long_total_events,long_rise_n,long_fall_n,long_win_rate,long_post_mean_rise,long_post_mean_fall,long_post_mean_total,long_plus1sd,long_minus1sd,long_post_max,long_post_min,long_pre_mean,long_pre_plus1sd,long_pre_minus1sd,short_total_events,short_rise_n,short_fall_n,short_win_rate,short_post_mean_rise,short_post_mean_fall,short_post_mean_total,short_plus1sd,short_minus1sd,short_post_max,short_post_min,short_pre_mean,short_pre_plus1sd,short_pre_minus1sd,base_long_rise_rate,base_short_fall_rate,base_long_mean,base_short_mean,long_edge,short_edge,long_mag_edge,short_mag_edge,active_signal,current_macd,current_signal,current_diff,long_expectancy,short_expectancy,combined_expectancy
1,NVDA,Stock,1M,12/26/9,6,3,90,71,19,0.7888888888888889,0.5178543954305849,-0.25599970683723994,0.354485196062933,0.8054930489769259,-0.09652265685105982,1.4947495961227788,-0.5551484060095273,0.4724294488370401,0.8090476928509542,0.13581120482312586,28,19,9,0.32142857142857145,0.3491120476009442,-0.14649324976545985,0.1898103448760286,0.48312331522422497,-0.10350262547216776,0.9014373716632446,-0.31878557874762803,-0.09723568375195853,0.22982034738705948,-0.4242917148909765,0.7899159663865546,0.2540983606557377,0.3938186682185718,0.17660294392607093,-0.0010270774976657293,0.06733021077283374,-0.039333472155638816,-0.013207400949957676,LONG,29.8489,29.1937,0.6552,0.354485,0.18981,0.272148
2,AMD,Stock,1M,12/26/9,6,3,82,56,26,0.6829268292682927,0.4753059838126739,-0.18647051101565745,0.26547441228173957,0.6888194900156708,-0.15787066545219158,1.4245614035087721,-0.46858929812369704,0.43375944610210865,0.9043476822229143,-0.03682879001869699,36,25,11,0.3055555555555556,0.3832781438339653,-0.19054680250456668,0.2079427435638583,0.585715781903459,-0.16983029477574238,1.1355140186915889,-0.36424261670371544,-0.07146827290692553,0.19885392376785,-0.34179046958170106,0.7058823529411765,0.36885245901639346,0.3385101610818819,0.1712044019515721,-0.022955523672883782,-0.06329690346083788,-0.07303574880014235,-0.0367383416122862,LONG,53.1097,28.1164,24.9933,0.265474,0.207943,0.236709
3,TSLA,Stock,1M,12/26/9,6,3,67,41,26,0.6119402985074627,0.6785021678489801,-0.1518476514032297,0.35627686485558524,1.1004771539138893,-0.3879234242027189,3.093902089894074,-0.3627718162720718,0.5089888212673978,1.1742071590377419,-0.15622951650294636,51,30,21,0.4117647058823529,0.2828064260508458,-0.18063702190878117,0.0919767710086465,0.4011199741186031,-0.21716643210131015,1.0662220104811815,-0.5356079170593779,-0.05994066367845836,0.18849538090967086,-0.3083767082665876,0.6050420168067226,0.4180327868852459,0.30969550286716463,0.13435224087067563,0.006898281700740028,-0.006268081002893,0.04658136198842061,0.04237546986202913,SHORT,42.0186,42.2717,-0.2532,0.356277,0.091977,0.224127
4,TAN,ETF,1M,12/26/9,6,3,38,28,10,0.7368421052631579,0.4953599220183276,-0.14070167523851834,0.327975291161263,0.8555634749587291,-0.19961289263620308,1.8465373961218834,-0.23567176374460136,0.3242257472683561,0.7479019200306372,-0.09945042549392485,60,19,41,0.6833333333333333,0.13381724730413003,-0.10950389419112416,-0.03245219938429366,0.11563879955082113,-0.18054319831940846,0.3322434999221546,-0.38751094251531965,-0.08884046362139843,0.05129057048956075,-0.2289714977323576,0.5050505050505051,0.5196078431372549,0.1071338101885579,0.04601208079785569,0.23179160021265277,0.1637254901960784,0.22084148097270512,0.07846428018214935,LONG,2.8275,-0.8064,3.6339,0.327975,0.032452,0.180214
5,AVGO,Stock,1M,12/26/9,6,3,88,68,20,0.7727272727272727,0.25996695703568046,-0.09592992876012979,0.17908130117299628,0.4052921682927026,-0.04712956594671003,0.9704354058412472,-0.2949023344449738,0.22679814027235667,0.4046651410601486,0.048931139484564706,29,24,5,0.1724137931034483,0.14018777865813475,-0.09180385048122472,0.10018922190996933,0.22498475795610118,-0.02460631413616253,0.35958270233888606,-0.13129710432368116,-0.0146801319496705,0.13298071235694553,-0.16234097625628652,0.7966101694915254,0.24793388429752067,0.1939464942403105,0.09576616618772507,-0.023882896764252703,-0.07552009119407238,-0.014865193067314209,-0.00442305572224426,LONG,64.2312,58.1012,6.1301,0.179081,0.100189,0.139635
6,MELI,Stock,1M,12/26/9,6,3,90,63,27,0.7,0.3006279234285306,-0.13278855703586342,0.17060297928921236,0.449414105289948,-0.10820814671152329,0.8969693034430141,-0.39669067444911504,0.25867117658053507,0.5361321049845004,-0.018789751823430234,31,18,13,0.41935483870967744,0.30461401076156824,-0.1678367605617887,0.10648949375499918,0.44649705821035474,-0.2335180707003564,1.017622497850915,-0.4645811615159566,-0.07784869098437949,0.15789643895723993,-0.3135938209259989,0.6974789915966386,0.3770491803278688,0.19318282812597318,0.09558599839672385,0.0025210084033613356,0.04230565838180861,-0.022579848836760813,-0.010903495358275325,SHORT,32.8126,135.9259,-103.1133,0.170603,0.106489,0.138546
7,LLY,Stock,1M,12/26/9,6,3,84,63,21,0.75,0.19867936814453518,-0.0612245813011796,0.1337033807831065,0.2990101915276515,-0.03160342996143847,0.5531805393535992,-0.1563631660631142,0.17819556321127455,0.32460609159133047,0.03178503483121867,34,28,6,0.17647058823529413,0.18514534100909283,-0.08026112498270495,0.1383089058340697,0.3136778596986081,-0.037060048030468695,0.5941284684960907,-0.19873347598926827,-0.030046435831648375,0.09305796539562083,-0.15315083705891758,0.7563025210084033,0.3524590163934426,0.154356540210482,0.0746052975465124,-0.006302521008403339,-0.1759884281581485,-0.0206531594273755,-0.0637036082875573,LONG,93.8321,91.3676,2.4644,0.133703,0.138309,0.136006
8,LIT,ETF,1M,12/26/9,6,3,61,44,17,0.7213114754098361,0.3549668547697799,-0.10774585523944129,0.22601413230819367,0.5187673344334335,-0.06673906981704614,0.9554502369668247,-0.28778152540528784,0.21727837563702687,0.46690370465540015,-0.03234695338134641,57,18,39,0.6842105263157895,0.12650993566263638,-0.09261602306250023,-0.0234183518861413,0.10881214751058399,-0.1556488512828666,0.45785352372178706,-0.2839358032098395,-0.08516430109087923,0.01146115548868365,-0.18178975767044211,0.5126050420168067,0.48360655737704916,0.09807027452430513,0.04899635345662271,0.2087064333930294,0.20060396893874033,0.12794385778388856,0.07241470534276401,LONG,8.5418,3.7592,4.7826,0.226014,0.023418,0.124716
9,NFLX,Stock,1M,12/26/9,6,3,84,64,20,0.7619047619047619,0.30294995776176104,-0.23246603514982458,0.1754699594494787,0.4849213808786784,-0.13398146197972097,1.0385416666666667,-0.7241778936694191,0.23131205605861166,0.42000389245205083,0.04262021966517246,37,27,10,0.2702702702702703,0.18411106228057386,-0.24295052283344995,0.0686890122497566,0.3012713786510917,-0.16389335415157852,0.3662790697674419,-0.5542027628190119,-0.036240428613270856,0.30859778582888736,-0.3810786430554291,0.7310924369747899,0.28688524590163933,0.1741496866876798,0.07950019807547026,0.03081232492997199,-0.016614975631369044,0.001320272761798913,0.010811185825713665,SHORT,6.8842,11.4683,-4.5841,0.17547,0.068689,0.122079
10,AAPL,Stock,1M,12/26/9,6,3,83,59,24,0.7108433734939759,0.20487979324633948,-0.09446304633623832,0.11832282758390736,0.31941394613721275,-0.082768290969398,0.8882060286801285,-0.23932525039536107,0.18032619672238698,0.3518845934672763,0.008767799977497687,35,29,6,0.17142857142857143,0.1519404752483682,-0.04352145724908321,0.11843271539166227,0.22962742183710166,0.007238008946222882,0.30382199260259496,-0.05984081041968149,-0.01851367119000084,0.13226705820103452,-0.16929440058103618,0.7478991596638656,0.30327868852459017,0.1443181347239105,0.07010720842824658,-0.03705578616988969,-0.13185011709601874,-0.025995307140003143,-0.048325506963415685,LONG,22.5781,19.3781,3.2,0.118323,0.118433,0.118378
